"","Vteam","Hteam"
"601","Washington Wizards","Chicago Bulls"
"602","Philadelphia 76ers","Charlotte Hornets"
"603","Dallas Mavericks","Cleveland Cavaliers"
"604","Milwaukee Bucks","Denver Nuggets"
"605","Phoenix Suns","Golden State Warriors"
"606","Indiana Pacers","Los Angeles Clippers"
"607","Sacramento Kings","Los Angeles Lakers"
"608","Utah Jazz","Minnesota Timberwolves"
"609","Oklahoma City Thunder","New Orleans Pelicans"
"610","Memphis Grizzlies","Portland Trail Blazers"
"611","Houston Rockets","San Antonio Spurs"
"612","Charlotte Hornets","Chicago Bulls"
"613","Toronto Raptors","Cleveland Cavaliers"
"614","Portland Trail Blazers","Dallas Mavericks"
"615","Indiana Pacers","Denver Nuggets"
"616","Washington Wizards","Houston Rockets"
"617","San Antonio Spurs","Los Angeles Clippers"
"618","Atlanta Hawks","Miami Heat"
"619","Boston Celtics","Milwaukee Bucks"
"620","Orlando Magic","New York Knicks"
"621","Golden State Warriors","Oklahoma City Thunder"
"622","Brooklyn Nets","Philadelphia 76ers"
"623","Sacramento Kings","Phoenix Suns"
"624","Los Angeles Lakers","Utah Jazz"
"625","Miami Heat","Atlanta Hawks"
"626","Philadelphia 76ers","Detroit Pistons"
"627","San Antonio Spurs","Los Angeles Lakers"
"628","Memphis Grizzlies","New Orleans Pelicans"
"629","Dallas Mavericks","Orlando Magic"
"630","Boston Celtics","Toronto Raptors"
"631","Washington Wizards","Cleveland Cavaliers"
"632","Minnesota Timberwolves","Denver Nuggets"
"633","Portland Trail Blazers","Houston Rockets"
"634","Golden State Warriors","Indiana Pacers"
"635","Brooklyn Nets","Milwaukee Bucks"
"636","Los Angeles Clippers","Utah Jazz"
"637","Chicago Bulls","Boston Celtics"
"638","Dallas Mavericks","Detroit Pistons"
"639","Minnesota Timberwolves","Los Angeles Lakers"
"640","Sacramento Kings","Memphis Grizzlies"
"641","Miami Heat","New York Knicks"
"642","Charlotte Hornets","Orlando Magic"
"643","Cleveland Cavaliers","Philadelphia 76ers"
"644","New Orleans Pelicans","Phoenix Suns"
"645","Indiana Pacers","Toronto Raptors"
"646","Atlanta Hawks","Washington Wizards"
"647","Brooklyn Nets","Chicago Bulls"
"648","New Orleans Pelicans","Golden State Warriors"
"649","Oklahoma City Thunder","Houston Rockets"
"650","Denver Nuggets","Los Angeles Clippers"
"651","Milwaukee Bucks","New York Knicks"
"652","Portland Trail Blazers","San Antonio Spurs"
"653","Atlanta Hawks","Boston Celtics"
"654","Indiana Pacers","Charlotte Hornets"
"655","Utah Jazz","Los Angeles Lakers"
"656","Detroit Pistons","Memphis Grizzlies"
"657","Dallas Mavericks","Philadelphia 76ers"
"658","Golden State Warriors","Phoenix Suns"
"659","Orlando Magic","Toronto Raptors"
"660","Chicago Bulls","Brooklyn Nets"
"661","Portland Trail Blazers","Denver Nuggets"
"662","Toronto Raptors","Detroit Pistons"
"663","New Orleans Pelicans","Los Angeles Clippers"
"664","Oklahoma City Thunder","Miami Heat"
"665","Orlando Magic","Milwaukee Bucks"
"666","Memphis Grizzlies","Minnesota Timberwolves"
"667","Cleveland Cavaliers","New York Knicks"
"668","Sacramento Kings","San Antonio Spurs"
"669","Philadelphia 76ers","Atlanta Hawks"
"670","Phoenix Suns","Dallas Mavericks"
"671","Charlotte Hornets","Indiana Pacers"
"672","Houston Rockets","Los Angeles Lakers"
"673","Golden State Warriors","Utah Jazz"
"674","Boston Celtics","Washington Wizards"
"675","Brooklyn Nets","Boston Celtics"
"676","Detroit Pistons","Chicago Bulls"
"677","New York Knicks","Cleveland Cavaliers"
"678","Los Angeles Lakers","Los Angeles Clippers"
"679","Toronto Raptors","Miami Heat"
"680","Denver Nuggets","Minnesota Timberwolves"
"681","San Antonio Spurs","New Orleans Pelicans"
"682","Memphis Grizzlies","Oklahoma City Thunder"
"683","Washington Wizards","Orlando Magic"
"684","Milwaukee Bucks","Philadelphia 76ers"
"685","Utah Jazz","Portland Trail Blazers"
"686","Houston Rockets","Sacramento Kings"
