win,lose,probability
Sacramento Kings,Atlanta Hawks,0.619895752067
Milwaukee Bucks,Chicago Bulls,0.541100041761
Cleveland Cavaliers,Phoenix Suns,0.888772643199
Golden State Warriors,Atlanta Hawks,0.895346664335
Indiana Pacers,Los Angeles Clippers,0.630467522206
New York Knicks,Minnesota Timberwolves,0.502504854841
Oklahoma City Thunder,Miami Heat,0.523237192863
Boston Celtics,Portland Trail Blazers,0.762044693478
San Antonio Spurs,Utah Jazz,0.69371538068
Toronto Raptors,Brooklyn Nets,0.815219332859
Washington Wizards,Denver Nuggets,0.570855492289
Dallas Mavericks,Charlotte Hornets,0.52772063561
Detroit Pistons,Chicago Bulls,0.623430210057
Houston Rockets,New Orleans Pelicans,0.648513772829
Memphis Grizzlies,Los Angeles Lakers,0.584418272743
Orlando Magic,Phoenix Suns,0.64953620959
Minnesota Timberwolves,Philadelphia 76ers,0.54628899463
Cleveland Cavaliers,Brooklyn Nets,0.839243965897
Golden State Warriors,Utah Jazz,0.792882150454
Houston Rockets,Atlanta Hawks,0.828333093011
Indiana Pacers,Miami Heat,0.530802769405
San Antonio Spurs,Milwaukee Bucks,0.557449451325
Oklahoma City Thunder,Portland Trail Blazers,0.593965528647
Boston Celtics,Sacramento Kings,0.816486090411
Toronto Raptors,Los Angeles Clippers,0.74781460176
Washington Wizards,New York Knicks,0.619103686664
New York Knicks,Charlotte Hornets,0.620904037738
Detroit Pistons,Los Angeles Lakers,0.79701722598
Minnesota Timberwolves,Memphis Grizzlies,0.854615797526
Denver Nuggets,Philadelphia 76ers,0.555019989379
Boston Celtics,Phoenix Suns,0.819027138137
Golden State Warriors,Indiana Pacers,0.781049182779
Houston Rockets,Chicago Bulls,0.71214461578
Milwaukee Bucks,Los Angeles Clippers,0.501328656678
Cleveland Cavaliers,Miami Heat,0.723253136176
New Orleans Pelicans,Portland Trail Blazers,0.589197684558
Dallas Mavericks,Sacramento Kings,0.630243883599
Toronto Raptors,Denver Nuggets,0.661198479843
San Antonio Spurs,Washington Wizards,0.581472486053
Cleveland Cavaliers,Charlotte Hornets,0.837672687635
Dallas Mavericks,Los Angeles Lakers,0.702602492787
Portland Trail Blazers,Memphis Grizzlies,0.639627169145
Minnesota Timberwolves,Atlanta Hawks,0.849900750819
Brooklyn Nets,Orlando Magic,0.51935239697
New York Knicks,Philadelphia 76ers,0.50514271547
Los Angeles Clippers,Phoenix Suns,0.53084963698
Boston Celtics,Utah Jazz,0.793416892342
Detroit Pistons,Washington Wizards,0.553383732574
Golden State Warriors,Milwaukee Bucks,0.807457577917
Miami Heat,Chicago Bulls,0.5823654067
Indiana Pacers,Sacramento Kings,0.595237711551
San Antonio Spurs,Oklahoma City Thunder,0.5750122649
Philadelphia 76ers,Atlanta Hawks,0.541872522442
Cleveland Cavaliers,New Orleans Pelicans,0.650396480007
Minnesota Timberwolves,Dallas Mavericks,0.637480647915
Houston Rockets,Phoenix Suns,0.887952501055
Milwaukee Bucks,Los Angeles Lakers,0.634213608806
Oklahoma City Thunder,Denver Nuggets,0.521367112382
Chicago Bulls,Orlando Magic,0.633479084137
Portland Trail Blazers,Los Angeles Clippers,0.555345361064
Utah Jazz,Memphis Grizzlies,0.662315148012
Boston Celtics,Toronto Raptors,0.556890732852
Miami Heat,Brooklyn Nets,0.690447951052
Detroit Pistons,New York Knicks,0.553184868702
Golden State Warriors,Sacramento Kings,0.878972128112
Washington Wizards,Charlotte Hornets,0.73028556554
Atlanta Hawks,Orlando Magic,0.579078344273
Detroit Pistons,Brooklyn Nets,0.709647144422
Washington Wizards,Chicago Bulls,0.600993496152
Philadelphia 76ers,Charlotte Hornets,0.529308392484
Cleveland Cavaliers,Dallas Mavericks,0.636397025471
Denver Nuggets,Milwaukee Bucks,0.605480437531
Golden State Warriors,Phoenix Suns,0.933559238897
Indiana Pacers,Los Angeles Clippers,0.541677484253
Los Angeles Lakers,Sacramento Kings,0.566599889622
Minnesota Timberwolves,Utah Jazz,0.717004644642
Oklahoma City Thunder,New Orleans Pelicans,0.559624555506
Portland Trail Blazers,Memphis Grizzlies,0.701688660529
Houston Rockets,San Antonio Spurs,0.70365652204
Chicago Bulls,Charlotte Hornets,0.5609404527
Toronto Raptors,Cleveland Cavaliers,0.519397640117
Portland Trail Blazers,Dallas Mavericks,0.575632706098
Denver Nuggets,Indiana Pacers,0.56625077698
Houston Rockets,Washington Wizards,0.649317661193
San Antonio Spurs,Los Angeles Clippers,0.715134988816
Miami Heat,Atlanta Hawks,0.731162335128
Boston Celtics,Milwaukee Bucks,0.642106200694
New York Knicks,Orlando Magic,0.738469521961
Golden State Warriors,Oklahoma City Thunder,0.797760546001
Philadelphia 76ers,Brooklyn Nets,0.644436691521
Phoenix Suns,Sacramento Kings,0.640468868176
Utah Jazz,Los Angeles Lakers,0.696727863751
Miami Heat,Atlanta Hawks,0.676297960403
Detroit Pistons,Philadelphia 76ers,0.675820633239
San Antonio Spurs,Los Angeles Lakers,0.812369021871
New Orleans Pelicans,Memphis Grizzlies,0.753468547105
Dallas Mavericks,Orlando Magic,0.711258440291
Boston Celtics,Toronto Raptors,0.574252825284
Cleveland Cavaliers,Washington Wizards,0.65119837836
Denver Nuggets,Minnesota Timberwolves,0.540576262619
Houston Rockets,Portland Trail Blazers,0.70156482243
Golden State Warriors,Indiana Pacers,0.792819394929
Milwaukee Bucks,Brooklyn Nets,0.768345829803
Utah Jazz,Los Angeles Clippers,0.51014076753
Boston Celtics,Chicago Bulls,0.772111885519
Detroit Pistons,Dallas Mavericks,0.537380374742
Minnesota Timberwolves,Los Angeles Lakers,0.693392343093
Memphis Grizzlies,Sacramento Kings,0.562348090869
Miami Heat,New York Knicks,0.504442967095
Charlotte Hornets,Orlando Magic,0.545465766167
Cleveland Cavaliers,Philadelphia 76ers,0.762818980405
New Orleans Pelicans,Phoenix Suns,0.61993953402
Toronto Raptors,Indiana Pacers,0.691647845596
Washington Wizards,Atlanta Hawks,0.785717803008
Chicago Bulls,Brooklyn Nets,0.586592903226
Golden State Warriors,New Orleans Pelicans,0.765883465288
Houston Rockets,Oklahoma City Thunder,0.563277011821
Denver Nuggets,Los Angeles Clippers,0.575980041685
New York Knicks,Milwaukee Bucks,0.568494226362
San Antonio Spurs,Portland Trail Blazers,0.711487446877
Boston Celtics,Atlanta Hawks,0.868562860121
Indiana Pacers,Charlotte Hornets,0.635201129074
Utah Jazz,Los Angeles Lakers,0.655097804061
Detroit Pistons,Memphis Grizzlies,0.742095532
Dallas Mavericks,Philadelphia 76ers,0.557095441559
Golden State Warriors,Phoenix Suns,0.880774297348
Toronto Raptors,Orlando Magic,0.84965991389
Chicago Bulls,Brooklyn Nets,0.588911229328
Denver Nuggets,Portland Trail Blazers,0.604018748322
Toronto Raptors,Detroit Pistons,0.619538203283
New Orleans Pelicans,Los Angeles Clippers,0.563081483718
Oklahoma City Thunder,Miami Heat,0.579046187203
Milwaukee Bucks,Orlando Magic,0.809481228853
Minnesota Timberwolves,Memphis Grizzlies,0.854615797526
Cleveland Cavaliers,New York Knicks,0.725615513537
San Antonio Spurs,Sacramento Kings,0.849036317764
Philadelphia 76ers,Atlanta Hawks,0.541872522442
Dallas Mavericks,Phoenix Suns,0.713074717471
Indiana Pacers,Charlotte Hornets,0.695635870011
Houston Rockets,Los Angeles Lakers,0.910832450452
Golden State Warriors,Utah Jazz,0.86243448639
Boston Celtics,Washington Wizards,0.664301194243
Boston Celtics,Brooklyn Nets,0.844223870941
Detroit Pistons,Chicago Bulls,0.657917933222
Cleveland Cavaliers,New York Knicks,0.683211640118
Los Angeles Clippers,Los Angeles Lakers,0.711617778798
Toronto Raptors,Miami Heat,0.659087577875
Minnesota Timberwolves,Denver Nuggets,0.672576486177
San Antonio Spurs,New Orleans Pelicans,0.633758835862
Oklahoma City Thunder,Memphis Grizzlies,0.757115772055
Washington Wizards,Orlando Magic,0.697823077367
Philadelphia 76ers,Milwaukee Bucks,0.519990108079
Portland Trail Blazers,Utah Jazz,0.503432904292
Houston Rockets,Sacramento Kings,0.880522074241
